,Label,Similar,composition,space_group_symmetry
118,1531453.csv,['1531450.csv'],"['Cu O6 Ti Yb2', 'Cu O6 Ti Tm2']","['P 63 c m', 'P 63 c m']"
119,2310806.csv,"['1531598.csv', '1521248.csv', '2310805.csv']","['K0.8 Na0.2 Nb O3', 'Na0.68 O3 Sr0.29 Ta', 'Na0.7 O3 Sr0.3 Ta', 'K0.1 Na0.9 Nb O3']","['P 1 m 1', 'P 4/m b m', 'P 4/m m m', 'P 4/m b m']"
120,8103541.csv,,['Bi1.68 Co0.32 O2 S0.84'],['C 1 2 1']
121,9004181.csv,"['9004178.csv', '1533020.csv', '2300450.csv', '9004180.csv', '9011662.csv', '2300112.csv', '9008877.csv', '9004179.csv']","['O Zn', 'O Zn', 'Co0.15 O Zn0.85', 'O Zn', 'O Zn', 'O Zn', 'O Zn', 'O Zn', 'O Zn']","['P 63 m c', 'P 63 m c', 'P 63 m c', 'P 63 m c', 'P 63 m c', 'P 63 m c', 'P 63 m c', 'P 63 m c', 'P 63 m c']"
122,9010811.csv,,['Ag1.5 Pb4.43 S14 Sb6.07'],['P 1 21/c 1']
123,9007617.csv,,['O4 Pb W'],['P 1 21/a 1']
124,1010963.csv,"['1010926.csv', '1000063.csv', '1010941.csv', '1541397.csv']","['Cu2 O', 'Cu2 O', 'Cu2 O', 'Cu2 O', 'O4 Pd Zn2']","['P n -3 m :1', 'P n -3 m :1', 'P n -3 m :1', 'P n -3 m :1', 'F d -3 m :2']"
125,9011821.csv,,['Fe0.53 O2 Sb0.47'],['P 42/m n m']
126,2104056.csv,,['S5 Sn Tb2'],['P b a m']
127,9000564.csv,['9007640.csv'],"['Ni3 S2', 'Ni3 S2']","['R 3 2 :R', 'R 3 2 :R']"
128,9008147.csv,"['2002331.csv', '1520771.csv', '4342598.csv']","['Al4 Bi2 O9', 'Al4 Bi2 O9', 'Al4 Bi2 O9', 'Al4 Bi2 O9']","['P b a m', 'P b a m', 'P b a m', 'P b a m']"
129,2107063.csv,,['O8 Re Sm3'],['P 1 1 21/a']
130,1011351.csv,,['Mn S'],['F m -3 m']
131,7109073.csv,,['C30.5 H24.25 Ir N7.75 O3'],['P 1 21/n 1']
132,1011208.csv,['1011206.csv'],"['Fe6 Ni3 S8', 'Co9 S8']","['F m -3 m', 'F m -3 m']"
133,4001191.csv,"['4001201.csv', '4001203.csv', '4001197.csv', '4001198.csv', '4001182.csv', '4001190.csv', '4001199.csv', '4001186.csv', '4001192.csv', '4001183.csv', '4001196.csv', '4001194.csv', '4001189.csv', '4001185.csv', '4001206.csv', '4001193.csv', '4001184.csv', '4001205.csv', '4001187.csv', '4001202.csv', '4001195.csv', '4001200.csv', '4001208.csv', '4001204.csv', '4001188.csv']","['O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3', 'O12 Sc2 W3']","['P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a', 'P n c a']"
134,1514120.csv,"['1514240.csv', '1514236.csv', '1514121.csv', '1011262.csv']","['Mn3 O4', 'Mn3 O4', 'Mn3 O4', 'Mn3 O4', 'Mn3 O4']","['I 41/a m d :1', 'I 41/a m d :1', 'I 41/a m d :1', 'I 41/a m d :1', 'I 41/a m d :1']"
135,9008636.csv,"['2311019.csv', '1011198.csv', '2106936.csv', '9009771.csv', '1536851.csv', '2310718.csv', '1011165.csv', '9009770.csv', '1011168.csv', '1011163.csv', '1534836.csv', '1011167.csv', '9009767.csv', '9007698.csv', '1011164.csv', '9002669.csv', '2102005.csv', '1011166.csv', '9002670.csv']","['Fe O', 'Fe0.974 O', 'Fe O', 'Fe0.902 O', 'Fe0.925 O', 'O Ti', 'Fe0.856 O', 'Fe0.929 O', 'Fe O', 'Fe0.944 O', 'Fe0.911 O', 'O Zn', 'Fe0.944 O', 'Fe0.925 O', 'Cu6 O8 Pb', 'Fe0.918 O', 'Fe0.99 O', 'Cu6 O8 Pb', 'Fe0.932 O', 'Fe0.99 O']","['F m -3 m', 'R -3 m :R', 'F m -3 m', 'P m -3 m', 'R -3 :R', 'F m -3 m', 'A b m 2', 'F m -3 m', 'R -3 :R', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'C 1 2/m 1', 'F m -3m', 'F m -3 m', 'C 1 2/m 1']"
136,8104155.csv,['4124661.csv'],"['O2 S Tm2', 'O2 S Tm2']","['P -3 m 1', 'P -3 m 1']"
137,1542180.csv,,['Cd Mo O4'],['I 41/a :1']
138,2202289.csv,"['8100303.csv', '8100304.csv', '2216267.csv', '8100305.csv', '1526658.csv']","['H16 O20 S3 Y2', 'H16 O20 S3 Tb2', 'Dy2 H16 O20 S3', 'H16 Ho2 O20 S3', 'Dy2 H16 O20 S3', 'Er2 H16 O20 S3']","['C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1']"
139,1539442.csv,,['Hg O2'],['P b c a']
140,9013346.csv,"['9013350.csv', '9013343.csv', '9013342.csv', '9013347.csv', '9013349.csv', '9013348.csv', '9013344.csv', '9013345.csv']","[nan, nan, nan, nan, nan, nan, nan, nan, nan]","['P 42/n :2', 'P 42/n :2', 'P 42/n :2', 'P 42/n :2', 'P 42/n :2', 'P 42/n :2', 'P 42/n :2', 'P 42/n :2', 'P 42/n :2']"
141,7011683.csv,"['7011684.csv', '7011685.csv']","['C31.4 H27 Fe3 N4.24 O13', 'C30.5 H27 Fe3 N4.06 O13', 'C29.64 H27 Fe3 N3.94 O13']","['C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1']"
142,1538173.csv,['1011023.csv'],"['H2 O', 'H2 O']","['P 63/m m c', 'P 63 c m']"
143,2101987.csv,"['1540267.csv', '1526322.csv', '1521158.csv', '1525924.csv', '2101988.csv', '1540301.csv', '1526320.csv', '2101446.csv', '1525926.csv']","['H3.6 O24 Si11.04', 'Al1.57 H33.22 O208 Si94.43', 'O2 Si0.9483 Ti0.0167', 'O24 Si11.691 Ti0.309', 'O192 Si93.52 Ti2.48', 'H3.6 O24 Si11.04', 'Al0.9 Cs0.4 O48 Si23.1', 'O2 Si0.9717', 'C1.92 H1.32 Al0.04 Cl0.64 O24 Si11.96', 'O192 Si93.91 Ti2.09']","['P n m a', 'P n m a', 'P n m a', 'P n m a', 'P n m a', 'P 1 21/n 1', 'P n m a', 'P n m a', 'P n m a', 'P 1 21/n 1']"
144,4327235.csv,['4001677.csv'],"['Ag6 O8 V2', 'Ag3 O4 V']","['C 1 2/c 1', 'C 1 2/c 1']"
145,2020347.csv,,['Hf S3 Sn'],['P n m a']
146,9004141.csv,"['1532822.csv', '1511015.csv', '1521160.csv', '1532825.csv', '9015662.csv', '9001680.csv', '9001681.csv', '9009083.csv', '9001679.csv', '9007531.csv', '9004144.csv', '1533680.csv', '9007432.csv', '2002307.csv', '1521159.csv', '9004142.csv', '1532816.csv', '1535999.csv', '4102355.csv', '9004143.csv', '1533684.csv', '1534781.csv']","['O2 Ti', 'Nb0.16 O2 Ti0.84', 'B0.024 O2 Ti', 'O2 Sn0.2 Ti0.8', 'Nb0.048 O2 Ti0.952', 'O2 Ti', 'Al0.08 Cr0.01 Nb0.01 O2 Ti0.91', 'O2 Ti0.992', 'O2 Ti', nan, 'O2 Ti', 'O2 Ti', 'Ni0.1 O2 Sb0.2 Ti0.7', 'O2 Ti', 'Al O4 Ta', 'O2 Sn0.1 Ti0.9', 'O2 Ti', 'Nb0.288 O2 Ti0.712', 'O4 Ti V', 'O2 Ti', 'O2 Ti', 'Nb0.2 Ni0.1 O2 Ti0.7', 'O2 Ti']","['P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m']"
147,1541346.csv,,['Ba8.04 Fe3.72 Lu1.56 O24 U2.68'],['F m -3 m']
148,2102557.csv,['2014094.csv'],"['Li3.25 O13 V6', 'Li3.24 O13 V6']","['C 1 2/m 1', 'C 1 2/c 1']"
149,5910208.csv,,['Al2 Cd O4'],['F d -3 m :2']
150,1544682.csv,,['Al3.67 Ca1.1 H2 Mg2.18 O12 Si1.05'],['C 1 2/m 1']
151,8104125.csv,['8103684.csv'],"['Cu2.06 Li1.94 Mo3 O12', 'Cu2.06 Li1.94 Mo3 O12']","['P 1 21/c 1', 'P m n b']"
152,1008084.csv,,['Cd Cr O4'],['C m c m']
153,4100890.csv,,['C51.75 H37.5 Cl3.5 O6 Sn'],['C 1 2/c 1']
154,1529485.csv,['1528808.csv'],"['Mn7 O15 Pb3', 'Mn7 O15 Pb3']","['P n m a', 'P n m a']"
155,7204406.csv,['7118237.csv'],"['Bi O6 Pb2 V', 'Bi O6 Pb2 V']","[nan, 'P 1 n 1']"
156,9004983.csv,,['Ag2 Bi7 Cu3 Pb3 S16'],['P 1 21/m 1']
157,9001962.csv,"['9001955.csv', '9001957.csv', '9001953.csv', '1538776.csv', '9008132.csv', '9005187.csv', '1533526.csv']","[nan, nan, nan, nan, nan, nan, nan, 'Al2.94 Ba0.05 H2 K0.74 Na0.2 O12 Si3.06']","['C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'P 31 1 2', 'C 1 2/c 1', 'C 1 2/c 1']"
158,1533695.csv,"['1533689.csv', '9015279.csv', '9015550.csv', '9014654.csv', '1533691.csv', '1525896.csv', '1520922.csv', '1533698.csv', '1525897.csv', '2102017.csv', '9015607.csv', '1533702.csv', '9014794.csv']","['La0.5 Li0.5 Nb2 O6', 'La0.64 Li0.08 Nb2 O6', 'Nb2 Nd0.67 O6', 'La0.741 Nb1.778 O6 Ti0.222', 'Na0.48 Nb2 Nd0.52 O6', 'La0.56 Li0.32 Nb2 O6', 'La0.333 Nb O3', 'La0.303 Nb O3', 'La0.46 Li0.62 Nb2 O6', 'La0.333 Li0.075 Nb O3', 'Ce0.33333 Nb O3', 'La0.67 Nb2 O6', 'La0.42 Li0.74 Nb2 O6', 'La0.52 Na0.48 Nb2 O6']","['P m m m', 'P m m m', 'P m m m', 'C m m m', 'P m m m', 'P m m m', 'C m m m', 'C m m m', 'P m m m', 'C m m m', 'P 1 2/m 1', 'P m m m', 'P m m m', 'P m m m']"
159,1004018.csv,,['Cu O4 Tm2'],['I 4/m m m']
160,2310724.csv,,['Nb26 O77 W4'],['C 1 2 1']
161,7020024.csv,"['7020023.csv', '1524982.csv']","['Bi2 K0.25 La0.5 Na0.25 Nb2 O9', 'Bi2.5 K0.25 Na0.25 Nb2 O9', 'Ba0.1 Bi2 O9 Sr0.9 Ta2']","['A 21 a m', 'A 21 a m', 'A 21 a m']"
162,1530757.csv,,['H2.4 K1.4 N0.6 O4 S'],['P n a m']
163,1547158.csv,"['1549902.csv', '4002637.csv', '1547148.csv', '1547157.csv', '1547155.csv', '1547156.csv', '1547150.csv', '1549900.csv', '1542154.csv', '9011857.csv', '1001151.csv', '1547147.csv', '1547146.csv', '1547149.csv', '1547151.csv', '9011855.csv', '1549903.csv', '1547154.csv', '1547153.csv']","['Ni0.25 O2 Ta0.5 Ti0.25', 'Mg0.25 Nb0.5 O2 Ti0.25', 'Li0.15 Nb0.45 O2 Ti0.4', 'Co0.05 Nb0.5 Ni0.2 O2 Ti0.25', 'Co0.05 Ni0.2 O2 Ta0.5 Ti0.25', 'Co0.15 Ni0.1 O2 Ta0.5 Ti0.25', 'Co0.1 Ni0.15 O2 Ta0.5 Ti0.25', 'Nb0.5 Ni0.25 O2 Ti0.25', 'O2 Ta0.5 Ti0.25 Zn0.25', 'Fe1.5 O6 Ta1.5', 'Fe0.5 O2 Ta0.5', 'O6 Ta2 V', 'Co0.15 Nb0.5 Ni0.1 O2 Ti0.25', 'Co0.2 Nb0.5 Ni0.05 O2 Ti0.25', 'Co0.1 Nb0.5 Ni0.15 O2 Ti0.25', 'Co0.25 Nb O2 Ti0.25', 'O2 Ta0.5 V0.5', 'Mg0.25 O2 Ta0.5 Ti0.25', 'Co0.25 O2 Ta0.5 Ti0.25', 'Co0.2 Ni0.05 O2 Ta0.5 Ti0.25']","['P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m']"
164,9016080.csv,,['Ba0.295 O4 Ti1.3 V0.7'],['I 4/m']
165,1541579.csv,,['H2 O'],['F d -3 m :1']
166,9008787.csv,,['In S'],['P b n m']
167,9005761.csv,"['1528644.csv', '2101234.csv', '9005762.csv', '1528643.csv']","['O2 Pb', 'O2 Y0.18 Zr0.82', 'O2 Zr', 'O2 Pb', 'O2 Th0.05 Y0.06 Zr0.89']","['F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m']"
168,1524400.csv,,['Ag40.64 Al55.5072 O384 Si136.493'],['F d -3 m :2']
169,1536615.csv,,['H2 O16 Pt2 S4'],['P 1 21/c 1']
170,9002374.csv,['1522136.csv'],"[nan, nan]","['P 1 21/c 1', 'P 1 21/c 1']"
171,2003068.csv,"['2107339.csv', '1526377.csv']","['Al3 Ga2 O12 Y3', 'Al3.08 Ga1.92 O12 Y3', 'Al4 Fe O12 Y3']","['I a -3 d', 'I a -3 d', 'I a -3 d']"
172,9009090.csv,,['Mo O2'],['P 1 21/c 1']
173,7052818.csv,,['C46.04 H42.59 Cl2.87 N2.54 O10'],['P -1']
174,4338666.csv,,['H8 Hf O12 S2'],['F d d d :2']
175,1535048.csv,,[nan],['C 1 2/m 1']
176,1525708.csv,,['Nb O4 S3 Sm3'],['P n 21 a']
177,2310655.csv,['2106215.csv'],"['H2 O4 U', 'H2 O4 U']","['P b c a', 'P b c a']"
178,1008783.csv,['1008784.csv'],"['P0.17 S2 V', 'P0.17 S2 V']","['P -3 m 1', 'P -3 m 1']"
179,4505733.csv,,['C65.5 H43.5 Cu1.5 N7.5 Na1.5 O9 Pd'],['P -1']
180,4001426.csv,['4001425.csv'],"['Cu1.21 Mg5.4 Mo18 S24', 'Cu4.66 Mg3.31 Mo18 S24']","['R -3 :H', 'R -3 :H']"
181,2102914.csv,"['2102916.csv', '2102909.csv', '4333972.csv', '2102912.csv', '1528379.csv', '7123215.csv', '2102913.csv', '2102911.csv', '2102910.csv', '4336776.csv', '4336777.csv', '1528378.csv', '4336775.csv', '2102917.csv', '4501315.csv', '2102918.csv', '1001090.csv', '2102915.csv']","['the _cell_formula_units_Z and _chemical_formula_sum data items', 'the _cell_formula_units_Z and _chemical_formula_sum data items', 'the _cell_formula_units_Z and _chemical_formula_sum data items', 'Bi Fe O3', 'the _cell_formula_units_Z and _chemical_formula_sum data items', 'Bi Fe0.25 Mg0.375 O3 Ti0.375', 'Bi6 Fe4.2 O18 Sc1.8', 'the _cell_formula_units_Z and _chemical_formula_sum data items', 'the _cell_formula_units_Z and _chemical_formula_sum data items', 'the _cell_formula_units_Z and _chemical_formula_sum data items', 'Bi Fe O3', 'Bi Co0.2 Fe0.8 O3', 'Bi Fe0.25 Ni0.375 O3 Ti0.375', 'Bi Fe O3', 'the _cell_formula_units_Z and _chemical_formula_sum data items', 'Bi Fe O3', 'the _cell_formula_units_Z and _chemical_formula_sum data items', 'Bi Fe O3', 'the _cell_formula_units_Z and _chemical_formula_sum data items']","['R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'P 1', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H', 'R 3 c :H']"
182,1010436.csv,"['9006660.csv', '1514111.csv', '9006658.csv', '1514105.csv', '9006662.csv', '1514231.csv', '9006659.csv', '9008674.csv', '9006661.csv', '1514099.csv', '1514229.csv', '9005947.csv', '9005946.csv', '1514237.csv', '1514114.csv', '1514118.csv']","['Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O', 'Mn O']","['F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m']"
183,7036560.csv,['7040530.csv'],"['Ag Eu Mo2 O8', 'Ca1.33 Er0.13 La0.93 Mo4 Na1.33 O16 Yb0.27']","['I 41/a :2', 'I 41/a :2']"
184,4316808.csv,,['Ba2.1 Fe4 O13 Pb2.9 Ti'],['A m m m']
185,7206282.csv,,['C39.5 H51.25 N3.75 O9'],['P -1']
186,1513999.csv,"['1514038.csv', '1514014.csv', '1513976.csv', '1514053.csv', '1514073.csv', '1514013.csv', '1514052.csv', '1513960.csv', '1514081.csv', '1514051.csv', '1513975.csv', '1514007.csv', '1514011.csv', '1514049.csv', '7214216.csv', '1514010.csv', '4001893.csv']","['Li0.74 Mn2 O4', 'Li0.83 Mn1.76 O4', 'Li0.27 Mn2 O4', 'Li1.12 Mn1.7 O4', 'Li1.252 Mn1.748 O4', 'Li0.55 Mn2 O4', 'Li0.22 Mn2 O4', 'Li1.26 Mn1.74 O4', 'Li0.83 Mn1.76 O4', 'Li0.1 Mn2.048 O4', 'Li1.264 Mn1.736 O4', 'Li1.11 Mn1.74 O4', 'Li0.78 Mn1.88 O4', 'Li0.65 Mn2 O4', 'Li1.333 Mn1.667 O4', 'Li1.14 Mn1.86 O4', 'Li0.64 Mn2 O4', 'Li1.24 Mn1.72 O4']","['F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2']"
187,1533860.csv,,['Al0.4 Fe0.6 O3 Tb'],['P b n m']
188,9007473.csv,,['Fe2 H16 O16 S2'],['P 1 21/n 1']
189,4002271.csv,"['4002272.csv', '4002288.csv', '4002274.csv', '4002270.csv', '4002275.csv', '4002277.csv', '4002289.csv', '4002276.csv']","['Cr0.8 Ni S4 V1.2', 'Cr0.6 Ni S4 V1.4', 'Cr1.4 Ni S4 V0.6', 'Cr1.9 Ni S4 V0.1', 'Cr Ni S4 V', 'Cr1.7 Ni S4 V0.3', 'Cr1.5 Ni S4 V0.5', 'Cr1.2 Ni S4 V0.8', 'Cr1.6 Ni S4 V0.4']","['I 1 2/m 1', 'I 1 2/m 1', 'I 1 2/m 1', 'I 1 2/m 1', 'I 1 2/m 1', 'I 1 2/m 1', 'I 1 2/m 1', 'I 1 2/m 1', 'I 1 2/m 1']"
190,1541823.csv,"['2103985.csv', '2103982.csv', '4124848.csv', '4124846.csv', '2103984.csv', '4124867.csv', '1001124.csv', '1542048.csv', '2103983.csv', '1010420.csv', '4124845.csv', '4124849.csv']","['Na0.54 O3 W', 'Na0.74 O3 W', 'Na0.74 O3 W', 'Na0.83 O3 W', 'Na0.44 O3 W', 'Na0.74 O3 W', 'Na0.3 O3 W', 'O3 Ta0.72 W0.28 Y0.24', 'Na0.11 O3 W', 'Na0.74 O3 W', 'Na0.35 O3 W', 'Na0.54 O3 W', 'Na0.72 O3 W']","['I m -3', 'I m -3', 'P m -3 m', 'P m -3 m', 'P m -3 m', 'I 4/m m m', 'P m -3 m', 'P m -3 m', 'P m -3 m', 'P 4/m b m', 'P m -3 m', 'P m -3 m', 'P m -3 m']"
191,4512790.csv,"['4512786.csv', '4512787.csv', '4512788.csv', '4512789.csv']","['C48.9 H52 O7.7', 'C48.9 H52 O7.7', 'C48.9 H52 O7.7', 'C48.9 H52 O7.7', 'C48.9 H52 O7.7']","['P -1', 'P -1', 'P -1', 'P -1', 'P -1']"
192,1010585.csv,['9016404.csv'],"['O3 Sc2', 'O3 Sc2']","['I 21 3', 'I 21 3']"
193,1547277.csv,['1547276.csv'],"['Fe5.94 Mg1.06 O9', 'Fe7 O9']","['C 1 2/m 1', 'C 1 2/m 1']"
194,1544413.csv,,['O2 Sn0.15 Ti0.85'],['I 41/a m d :1']
195,9013162.csv,,['S Zn'],['P 63 m c']
196,4001897.csv,,['Li0.48 Mn0.89 O2'],['R -3 m :H']
197,1525712.csv,,['H7 O9.5 S U'],['C 1 2/c 1']
198,9010585.csv,"['9000910.csv', '9010583.csv', '9004903.csv', '9010912.csv', '1526269.csv', '9004901.csv', '1544716.csv', '2107479.csv', '9000909.csv', '9000915.csv', '9004904.csv', '9000906.csv', '9004900.csv', '9000907.csv', '9010581.csv', '1529616.csv', '9000914.csv', '1530487.csv', '1526274.csv', '9000912.csv', '9000913.csv', '9010582.csv', '1528690.csv', '9010584.csv', '9010913.csv', '9007673.csv', '9000911.csv', '9004902.csv', '9010586.csv', '1526260.csv', '9010914.csv', '1528689.csv', '9000908.csv']","['Mg0.5 Mn0.5 O3 Ti', 'Fe O3 Ti', 'Mg0.3 Mn0.7 O3 Ti', 'Mn0.3 O3 Ti Zn0.7', 'Fe O3 Ti', 'Fe1.1 O3 Ti0.9', 'Mn0.7 O3 Ti Zn0.3', 'Fe O3 Ti', 'Cr Fe O3', 'Fe O3 Ti', 'Fe O3 Ti', 'Mn0.2 O3 Ti Zn0.8', 'Fe O3 Ti', 'Mn0.9 O3 Ti Zn0.1', 'Fe O3 Ti', 'Mg0.1 Mn0.9 O3 Ti', 'Fe0.955 Mg0.208 O3 Ti0.833', 'Fe O3 Ti', 'Co0.4 Fe0.6 O3 Ti', 'Fe O3 Ti', 'Fe O3 Ti', 'Fe O3 Ti', 'Mg0.2 Mn0.8 O3 Ti', 'Mg0.46 O3 Ti Zn0.54', 'Mg0.4 Mn0.6 O3 Ti', 'Fe O3 Ti', 'Mn O3 Ti', 'Fe O3 Ti', 'Mn0.5 O3 Ti Zn0.5', 'Mg0.6 Mn0.4 O3 Ti', 'Fe1.2 O3 Ti0.8', 'Fe O3 Ti', 'Mg0.3 Mn0.37 O3 Ti Zn0.333', 'Fe O3 Ti']","['R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H', 'R -3 :H']"
199,1001055.csv,['9016339.csv'],"['Gd0.29 O3 Ta0.87 W0.13', 'Gd0.58 O4 Ta1.74 W0.26']","['P m m m', 'P m m m']"
200,9011412.csv,,['Fe O2'],['P b n m']
201,9007533.csv,"['1533661.csv', '1533667.csv', '5000224.csv', '1521166.csv', '2101853.csv', '2104754.csv', '9007433.csv', '1526637.csv', '9009082.csv', '1534785.csv', '1533693.csv', '1533687.csv', '1533664.csv', '2104743.csv', '1533671.csv', '1521419.csv', '1533654.csv', '1000062.csv']","['O2 Sn', 'H1.2 O2 Sn0.7', 'H0.64 O2 Sn0.84', 'O2 Sn', 'O2 Sn0.9 Ti0.1', 'O2 Sn', 'O2 Sn', 'O2 Sn', 'O2 Sn', 'O2 Sn', 'O2 Sn', 'Nb0.2 Ni0.1 O2 Sn0.7', 'Ni0.1 O2 Sb0.2 Sn0.7', 'H1.04 O2 Sn0.74', 'O2 Sn', 'H0.4 O2 Sn0.9', 'O2 Sn0.912', 'H1.72 O2 Sn0.57', 'O2 Sn']","['P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m', 'P 42/m n m']"
